epoch,learning_rate,train_loss,valid_loss,valid_accuracy,test_loss,test_accuracy
1,0.01,0.694421,0.6956,50.8,0.695,51.1
2,0.01,0.693734,0.6977,50.35,0.6962,51.1
3,0.01,0.690219,0.7871,49.95,0.8017,50.05
4,0.01,0.684396,0.7681,50.65,0.7892,50.85
5,0.01,0.680947,0.7694,53.2,0.7693,53.35
6,0.01,0.666793,0.7663,53.1,0.7665,53.25
7,0.01,0.660881,0.6654,55.55,0.656,56.35
8,0.01,0.642826,0.7071,53.3,0.6989,54.15
9,0.01,0.632237,0.6088,61.1,0.5886,62.5
10,0.01,0.643213,0.7349,54.25,0.7341,54.6
11,0.01,0.64039,0.6528,58.25,0.6416,58.85
12,0.01,0.614366,1.1716,51.3,1.1765,51.85
13,0.01,0.642728,0.8058,58.35,0.7889,58.9
14,0.01,0.601906,0.6134,61.65,0.5813,64.5
15,0.01,0.611525,0.6191,62.5,0.5898,62.75
16,0.01,0.609296,0.6601,59.45,0.6601,60.15
17,0.01,0.615939,1.5088,51.3,1.5314,51.95
18,0.01,0.605289,0.7684,56.55,0.7836,58.5
19,0.01,0.572504,0.8284,58.3,0.8088,59.1
20,0.01,0.580921,0.7326,62.35,0.6938,65.1
21,0.01,0.577337,1.6822,51.15,1.6898,51.55
22,0.01,0.556976,0.9677,54.95,1.0007,54.0
23,0.01,0.561195,0.5581,67.45,0.5436,68.05
24,0.01,0.556384,0.7192,62.15,0.6723,63.25
25,0.01,0.553916,0.6233,64.35,0.6117,64.8
26,0.01,0.556425,0.6215,64.5,0.6091,65.25
27,0.01,0.585485,0.599,65.05,0.5713,66.95
28,0.01,0.535084,0.5372,68.0,0.529,69.3
29,0.01,0.538812,0.9897,55.7,1.0167,56.0
30,0.01,0.533205,0.5496,69.05,0.5293,70.45
31,0.01,0.557728,0.5241,68.8,0.5208,70.0
32,0.01,0.531255,0.5502,68.7,0.5177,69.9
33,0.01,0.528066,0.5287,69.1,0.5098,70.0
34,0.01,0.548489,0.6899,62.8,0.6652,64.25
35,0.01,0.513453,0.5601,68.4,0.5426,70.55
36,0.01,0.548834,1.3847,58.15,1.3687,59.5
37,0.01,0.549896,0.5141,69.6,0.5007,70.65
38,0.01,0.507993,0.8566,60.75,0.8517,62.05
39,0.01,0.509917,0.5608,68.5,0.5259,70.2
40,0.01,0.559585,0.8268,58.6,0.8038,59.75
