epoch,learning_rate,train_loss,valid_loss,valid_accuracy,test_loss,test_accuracy
1,0.01,0.694397,0.6942,50.35,0.694,50.65
2,0.01,0.693276,0.6936,51.5,0.6928,52.0
3,0.01,0.695288,0.6957,52.65,0.6929,51.9
4,0.01,0.680738,0.6655,58.35,0.6582,59.5
5,0.01,0.665119,0.9467,53.95,0.9445,55.15
6,0.01,0.632834,1.3187,50.65,1.3647,50.85
7,0.01,0.607405,0.5976,64.45,0.5697,66.45
8,0.01,0.598825,0.6648,61.2,0.6647,61.2
9,0.01,0.561875,0.5719,66.85,0.5537,67.75
10,0.01,0.59971,0.7188,62.3,0.6901,62.6
11,0.01,0.595642,0.5647,66.85,0.5795,66.95
12,0.01,0.538284,0.5251,69.35,0.5167,70.1
13,0.01,0.513673,0.4968,71.0,0.4869,72.35
14,0.01,0.513622,0.6545,65.05,0.6367,66.3
15,0.01,0.533742,0.5203,69.25,0.5039,70.65
16,0.01,0.503833,0.5879,69.9,0.5667,71.25
17,0.01,0.515356,0.8887,59.75,0.9192,59.3
18,0.01,0.510561,0.6776,67.0,0.6523,68.05
19,0.01,0.511873,0.4615,73.75,0.447,73.55
20,0.01,0.486165,0.5196,70.85,0.5091,71.25
21,0.01,0.499582,0.5951,69.9,0.5873,70.65
22,0.01,0.471669,0.5417,72.15,0.5285,71.95
23,0.01,0.469263,0.4488,74.35,0.4261,76.0
24,0.01,0.464925,0.5995,68.75,0.5973,68.15
25,0.01,0.458356,0.8869,62.65,0.8678,63.2
26,0.01,0.477179,0.6063,66.65,0.605,67.15
27,0.01,0.460782,0.6708,66.7,0.6575,68.0
28,0.01,0.441692,0.4858,73.9,0.4748,73.0
29,0.01,0.489708,0.4522,74.4,0.4303,75.65
30,0.01,0.445669,0.4471,74.9,0.4427,74.9
31,0.01,0.441812,0.596,68.45,0.5849,68.6
32,0.01,0.430736,0.4658,75.05,0.4437,74.85
33,0.01,0.449095,0.8033,65.9,0.8004,65.6
34,0.01,0.426613,0.5,74.0,0.4737,74.15
35,0.01,0.450393,0.4253,76.5,0.3985,77.25
36,0.01,0.419408,0.5538,73.35,0.5173,74.25
37,0.01,0.456148,0.4055,77.5,0.3822,79.45
38,0.01,0.417502,0.7274,68.15,0.7392,67.95
39,0.01,0.413876,0.4414,75.55,0.4036,77.8
40,0.01,0.417823,0.4027,78.0,0.391,78.45
41,0.01,0.440992,0.4884,74.3,0.4715,75.7
42,0.01,0.413967,0.4639,74.3,0.4402,75.75
43,0.01,0.41231,0.5477,73.6,0.5239,73.8
44,0.01,0.42204,0.4073,78.25,0.3835,79.0
45,0.01,0.391996,0.3829,79.4,0.3652,79.65
46,0.01,0.395513,0.5,73.8,0.467,75.05
47,0.01,0.407511,0.5201,72.65,0.4969,72.85
48,0.01,0.401388,0.5608,73.25,0.5379,73.25
49,0.01,0.4002,0.508,73.9,0.4881,74.25
50,0.01,0.390169,0.4378,77.1,0.4273,76.7
51,0.01,0.41485,0.9494,67.35,0.9136,67.8
52,0.01,0.414368,0.425,76.25,0.4002,78.1
53,0.01,0.396193,0.7088,68.5,0.675,69.55
54,0.01,0.424054,1.1018,65.4,1.0892,65.55
55,0.01,0.400059,0.426,76.8,0.3912,79.1
56,0.01,0.405359,1.0089,61.9,0.9823,61.85
57,0.01,0.411522,0.6671,67.5,0.6694,68.4
58,0.01,0.402408,0.6528,70.9,0.5961,71.8
59,0.01,0.383401,0.4315,76.8,0.404,77.65
60,0.01,0.386373,0.4434,76.95,0.4253,78.55
61,0.01,0.412746,0.4112,78.2,0.3861,78.55
62,0.01,0.398313,0.4764,75.9,0.456,77.35
63,0.01,0.383255,0.3845,79.4,0.3689,79.2
64,0.01,0.379554,0.4133,78.85,0.3794,80.4
65,0.01,0.408817,1.0376,66.3,0.9913,67.85
66,0.01,0.393574,0.3844,78.6,0.3602,79.15
67,0.01,0.365293,0.4017,77.45,0.3843,79.0
68,0.01,0.371093,0.3858,78.75,0.3803,78.7
69,0.01,0.367591,0.3871,79.55,0.3583,80.85
70,0.01,0.374934,0.5614,72.0,0.5325,72.8
71,0.01,0.387723,0.4713,76.8,0.4484,77.6
72,0.01,0.403617,0.5072,72.9,0.5124,73.45
73,0.01,0.377867,0.4068,78.95,0.3851,79.5
74,0.01,0.377286,0.3912,78.95,0.3855,79.1
75,0.01,0.430475,0.3636,80.1,0.3504,80.75
76,0.01,0.35086,0.5101,76.05,0.4812,77.65
77,0.01,0.402853,0.4629,77.9,0.4384,78.0
78,0.01,0.373002,0.3752,80.45,0.3457,80.85
79,0.01,0.353053,0.3541,81.45,0.3398,80.95
80,0.01,0.369845,0.3815,78.95,0.3437,81.15
81,0.001,0.297774,0.3421,81.75,0.3084,82.95
82,0.001,0.288278,0.3304,83.0,0.2959,83.2
83,0.001,0.28181,0.3256,83.0,0.291,84.0
